DEPARTAMENTO;MUNICIPIO;CODIGO DANE;ARMAS MEDIOS;FECHA HECHO;GENERO;GRUPO ETARIO;CANTIDAD;DELITO
AMAZONAS;LETICIA ;91001;NO REPORTADO;12/02/2010;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;19/02/2010;MASCULINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;25/02/2010;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;11/04/2010;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;17/06/2010;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;19/07/2010;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;SIN EMPLEO DE ARMAS;01/01/2011;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;OBJETO CONTUNDENTE;07/01/2011;FEMENINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;06/02/2011;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;01/05/2011;MASCULINO;MENORES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;PUERTO NARI¥O;91540;NO REPORTADO;01/05/2011;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;24/07/2011;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;03/08/2011;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;NO REPORTADO;14/08/2011;MASCULINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;15/08/2011;FEMENINO;ADULTOS;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;01/09/2011;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
AMAZONAS;LETICIA ;91001;OBJETO CONTUNDENTE;10/09/2011;FEMENINO;ADOLECENTES;1;ARTICULO 205. ACCESO CARNAL VIOLENTO
